json_path,json_name,json_subtitle,status,method,notes,csv_line,id,uziti,zalm,verse,lekcionar,strana,doba,prilezitost,cyklus,odpoved,kb
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1251,Ps104_08,ID_1250,Žl 104(103),1ab+24.27-28.30-31.33-34,61,70,h-Příležitosti,Při biřmování 1,,44,210
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1252,Ps145_20,ID_1251,Žl 145(144),2-3.4-5.8-9.10-11.15-16,61,71,h-Příležitosti,Při biřmování 2,,7,285
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1253,Ps022_06,ID_1252,Žl 22(21),23-24.26-27.28+31-32,61,72,h-Příležitosti,Při biřmování 3,,7,32
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1254,Ps023_01,ID_1253,Žl 23(22),1-3.4.5.6,61,73,h-Příležitosti,Při biřmování 4,,23,34
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1255,Ps104_08,ID_1254,Žl 104(103),1ab+24.27-28.30-31.33-34,61,75,h-Příležitosti,Při biřmování 5,,44,210
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1256,Ps104_08,ID_1255,Žl 104(103),1ab+24.27-28.30-31.33-34,61,76,h-Příležitosti,Při biřmování v době velikonoční 1,,44,210
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1257,Ps117_02,ID_1256,Žl 117(116),1.2,61,77,h-Příležitosti,Při biřmování v době velikonoční 2,,54,233
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1258,Ps145_20,ID_1257,Žl 145(144),2-3.4-5.8-9.10-11.15-16,61,78,h-Příležitosti,Při biřmování v době velikonoční 3,,7,285
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1259,Ps096_13,ID_1258,Žl 96(95),1-2a.2b-3.9-10a.11-12a,61,79,h-Příležitosti,Při biřmování v době velikonoční 4,,54,181
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1260,Ps117_02,ID_1259,Žl 117(116),1.2,61,80,h-Příležitosti,Při biřmování v době velikonoční 5,,54,233
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1261,Ps023_01,ID_1260,Žl 23(22),1-3.4.5.6,KB,34,h-Příležitosti,Při biřmování KB,,23,34
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1262,Ps096_13,ID_1261,Žl 96(95),1-2a.2b-3.9-10a.11-12a,KB,181,h-Příležitosti,Při biřmování KB,,54,181
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1263,Ps096_14,ID_1262,Žl 96(95),1-2a.2b-3.9-10a.11-12a,KB,181,h-Příležitosti,Při biřmování KB,,55,181
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1264,Ps104_07,ID_1263,Žl 104(103),1ab+24.27-28.30-31.33-34,KB,209,h-Příležitosti,Při biřmování KB,,31,209
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1265,Ps104_08,ID_1264,Žl 104(103),1ab+24.27-28.30-31.33-34,KB,210,h-Příležitosti,Při biřmování KB,,44,210
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1266,Ps117_02,ID_1265,Žl 117(116),1.2,KB,233,h-Příležitosti,Při biřmování KB,,54,233
data/json/ruzne_prilezitosti/birmovani.json,Při biřmování,,matched,manual,,1267,Ps145_20,ID_1266,Žl 145(144),2-3.4-5.8-9.10-11.15-16,KB,285,h-Příležitosti,Při biřmování KB,,7,285
data/json/ruzne_prilezitosti/krest.json,Při křtu,,matched,manual,,1214,Ps089_10,ID_1213,Žl 89(88),3-4.16-17.21-22.25+27,61,23,h-Příležitosti,Při křtu dospělých 1,,9,166
